codigo,marca,tipo,categoria,preco_unitario,custo,obs
MOLO000251,Logitech,Mouse,1,25.95,6.50,
MOLO000192,Logitech,Mouse,2,19.95,5.00,
CAHA000251,Hashtag,Camisa,1,25.00,11.00,
CAHA000252,Hashtag,Camisa,2,25.00,11.00,Conferir estoque
MOMU000111,Multilaser,Mouse,1,11.99,3.40,
BOHA000251,Hashtag,Bone,1,25.00,11.00,
BOHA000252,Hashtag,Bone,2,25.00,11.00,
CAHA000273,Hashtag,Camisa,3,27.50,12.40,Troca de fornecedor
CAHA000274,Hashtag,Camisa,4,27.50,12.40,
CAHA000275,Hashtag,Camisa,5,27.50,12.40,
TELG000821,LG,Televisao,1,820.00,172.20,
TELG000252,LG,Televisao,2,250.00,62.50,
TELG000373,LG,Televisao,3,378.00,83.20,
TELG000524,LG,Televisao,4,520.00,145.60,
TESA000125,Samsung,Televisao,5,1260.00,378.00,
TESA000346,Samsung,Televisao,6,340.00,71.40,
TESA000747,Samsung,Televisao,7,740.00,214.60,
TESA000108,Samsung,Televisao,8,10000.00,3000.00,
TESA000729,Samsung,Televisao,9,720.00,201.60,
TESA0002010,Samsung,Televisao,10,2000.00,440.00,
TEAO0002511,AOC,Televisao,11,250.00,62.50,
TEAO0003612,AOC,Televisao,12,360.00,97.20,
TETO0006413,Toshiba,Televisao,13,640.00,185.60,
TETO0008014,Toshiba,Televisao,14,800.00,192.00,
TETO0006015,Toshiba,Televisao,15,600.00,144.00,
TESE0005016,SEMP,Televisao,16,500.00,125.00,
TESE0003817,SEMP,Televisao,17,380.00,91.20,
TESE0005018,SEMP,Televisao,18,500.00,140.00,
TEPH0004019,Philco,Televisao,19,400.00,120.00,
TEPH0002720,Philco,Televisao,20,279.80,56.00,
TETC0001521,TCL,Televisao,21,158.00,36.30,
TETC0002222,TCL,Televisao,22,220.00,59.40,
REGA000441,Garmin,Relogio,1,440.00,96.80,
REGA000722,Garmin,Relogio,2,720.00,187.20,
REXI000463,Xiaomi,Relogio,3,46.40,11.60,
REXI000744,Xiaomi,Relogio,4,74.00,15.50,
REXI000365,Xiaomi,Relogio,5,36.00,7.90,
REXI000116,Xiaomi,Relogio,6,114.00,23.90,
RESA000287,Samsung,Relogio,7,280.00,72.80,
RESA000298,Samsung,Relogio,8,290.00,72.50,
RESA000389,Samsung,Relogio,9,380.00,110.20,
RESA0003210,Samsung,Relogio,10,320.00,83.20,
CEAP000101,Apple,Celular,1,1099.00,329.70,
CEAP000112,Apple,Celular,2,1199.00,287.80,
CEAP000133,Apple,Celular,3,1399.00,377.70,
CEAP000154,Apple,Celular,4,1599.00,367.80,
CEAP000995,Apple,Celular,5,999.00,269.70,
CEAP000106,Apple,Celular,6,1099.00,329.70,
CEAP000127,Apple,Celular,7,1299.00,298.80,
